Time,Consumption,Type
2012-01-24,12.933625889698837,No holiday
2012-01-25,12.623898982919023,No holiday
2012-01-26,12.395516942951884,No holiday
2012-01-27,12.545277590158069,No holiday
2012-01-28,13.389389266977444,No holiday
2012-01-29,14.121705983847548,No holiday
2012-01-30,13.50776226989298,No holiday
2012-01-31,13.997276281640174,No holiday
2012-02-01,13.871782338720656,New Years Day (substitute day)
2012-02-02,14.505374681073915,No holiday
2012-02-03,14.662771814143465,No holiday
2012-02-04,15.179474733948023,No holiday
2012-02-05,15.888974864951177,No holiday
2012-02-06,14.18372319763889,No holiday
2012-02-07,13.942419752461957,No holiday
2012-02-08,15.228877236713672,No holiday
2012-02-09,14.44686230487709,No holiday
2012-02-10,14.727471571223608,No holiday
2012-02-11,14.868814402392095,No holiday
2012-02-12,15.861705817129996,No holiday
2012-02-13,14.324986882806122,No holiday
2012-02-14,13.649670828143233,No holiday
2012-02-15,13.106215615572358,No holiday
2012-02-16,12.608609405729805,No holiday
2012-02-17,12.421755817802886,No holiday
2012-02-18,12.94778648003467,No holiday
2012-02-19,13.729725784720326,No holiday
2012-02-20,13.45894422529087,No holiday
2012-02-21,12.7485222984197,No holiday
2012-02-22,12.983606521127111,No holiday
2012-02-23,11.665376880525152,No holiday
2012-02-24,11.566802279512236,No holiday
2012-02-25,11.810325323279171,No holiday
2012-02-26,12.4273097225589,No holiday
2012-02-27,12.220480303819777,No holiday
2012-02-28,11.525683063708431,No holiday
2012-02-29,11.50713499033944,No holiday
2012-03-01,11.18711242026035,No holiday
2012-03-02,11.8014775995753,No holiday
2012-03-03,12.095017290682032,No holiday
2012-03-04,13.334899496120151,No holiday
2012-03-05,12.671301510193697,No holiday
2012-03-06,13.035225492606088,No holiday
2012-03-07,12.717167383630995,No holiday
2012-03-08,11.992868464962989,No holiday
2012-03-09,12.103507698423972,No holiday
2012-03-10,11.848862313454283,No holiday
2012-03-11,11.932347497494552,No holiday
2012-03-12,10.973284301150583,No holiday
2012-03-13,10.98115532551118,No holiday
2012-03-14,10.992545736631875,No holiday
2012-03-15,10.989770493232612,No holiday
2012-03-16,11.338203757147888,No holiday
2012-03-17,11.7801714699894,No holiday
2012-03-18,12.072808901161675,No holiday
2012-03-19,11.106862287390385,No holiday
2012-03-20,10.735305866256654,No holiday
2012-03-21,10.425975843420195,No holiday
2012-03-22,10.257913226250794,No holiday
2012-03-23,10.24684480478852,No holiday
