Time,Consumption,Type
2011-11-23,12.872750025,No holiday
2011-11-24,14.437491651666663,No holiday
2011-11-25,13.000691208791208,No holiday
2011-11-26,13.008617879131652,No holiday
2011-11-27,12.611000029411764,No holiday
2011-11-28,11.608741547712416,No holiday
2011-11-29,10.837873531044137,No holiday
2011-11-30,10.771127622023808,No holiday
2011-12-01,11.691177090205326,No holiday
2011-12-02,11.839936729144384,No holiday
2011-12-03,12.571561142056014,No holiday
2011-12-04,13.622184226315788,No holiday
2011-12-05,12.55685406551243,No holiday
2011-12-06,14.613081145737636,No holiday
2011-12-07,13.680785960947498,No holiday
2011-12-08,14.903347984771122,No holiday
2011-12-09,14.53089589802202,No holiday
2011-12-10,15.800249506975296,No holiday
2011-12-11,15.580075014999998,No holiday
2011-12-12,14.3611742989792,No holiday
2011-12-13,14.72702153152696,No holiday
2011-12-14,15.293473121654708,No holiday
2011-12-15,15.685692276786478,No holiday
2011-12-16,16.67512887642639,No holiday
2011-12-17,16.117273676747896,No holiday
2011-12-18,17.297078949122806,No holiday
2011-12-19,16.32025908348524,No holiday
2011-12-20,14.983846132646976,No holiday
2011-12-21,14.373648472944137,No holiday
2011-12-22,13.6333957321701,No holiday
2011-12-23,13.537232402093943,No holiday
2011-12-24,14.057150046124574,No holiday
2011-12-25,13.456229297452229,No holiday
2011-12-26,11.809579622292992,No holiday
2011-12-27,12.663636942675158,No holiday
2011-12-28,13.078386449558971,No holiday
2011-12-29,13.667602485154836,No holiday
2011-12-30,14.011274527720603,No holiday
2011-12-31,13.795959531213873,No holiday
2012-01-01,14.002387277456648,No holiday
2012-01-02,14.37981892727517,No holiday
2012-01-03,14.683377181698914,No holiday
2012-01-04,14.54866344211688,No holiday
2012-01-05,14.84309787549756,No holiday
2012-01-06,14.494014661029643,No holiday
2012-01-07,14.304318290568702,No holiday
2012-01-08,14.969770938547486,No holiday
2012-01-09,13.872832764115454,No holiday
2012-01-10,13.624437380734928,No holiday
2012-01-11,13.647802693894992,No holiday
2012-01-12,13.777509491464972,No holiday
2012-01-13,14.13401678827085,No holiday
2012-01-14,15.426130583535103,No holiday
2012-01-15,15.842199268697154,No holiday
2012-01-16,15.017657218641927,No holiday
2012-01-17,14.926246517723513,No holiday
2012-01-18,14.528177295653542,No holiday
2012-01-19,13.564997169810288,No holiday
2012-01-20,14.165379319217273,No holiday
2012-01-21,13.905826877977852,No holiday
2012-01-22,14.957967394368572,No holiday
2012-01-23,13.930026715036329,No holiday
2012-01-24,14.0184018797675,No holiday
2012-01-25,13.69245043293216,No holiday
2012-01-26,13.000426216583318,No holiday
2012-01-27,13.68699651118544,No holiday
2012-01-28,14.792926100461608,No holiday
2012-01-29,15.670800762835247,No holiday
2012-01-30,15.001043767541574,No holiday
2012-01-31,15.524319848948007,No holiday
2012-02-01,15.544889543697732,New Years Day (substitute day)
2012-02-02,16.66238689306874,No holiday
2012-02-03,16.45825306696763,No holiday
2012-02-04,16.83694451734479,No holiday
2012-02-05,17.494407309312948,No holiday
2012-02-06,15.7226085828429,No holiday
2012-02-07,15.51060244413364,No holiday
2012-02-08,16.897741938823806,No holiday
2012-02-09,16.180584282560833,No holiday
2012-02-10,16.117028145585948,No holiday
2012-02-11,16.25156676759236,No holiday
2012-02-12,17.89676570854823,No holiday
2012-02-13,15.9311134715509,No holiday
2012-02-14,14.97793952400921,No holiday
2012-02-15,14.52345234384686,No holiday
2012-02-16,13.916224675017988,No holiday
2012-02-17,13.465425619036038,No holiday
2012-02-18,13.92514532391468,No holiday
2012-02-19,14.716646313994907,No holiday
2012-02-20,14.562133724022967,No holiday
2012-02-21,13.742386823449698,No holiday
2012-02-22,14.052636520439172,No holiday
2012-02-23,12.427395099735044,No holiday
2012-02-24,12.44226169641806,No holiday
2012-02-25,12.777199643778758,No holiday
2012-02-26,13.286588782009344,No holiday
2012-02-27,13.293600562852738,No holiday
2012-02-28,12.589721821375043,No holiday
2012-02-29,12.51785070752088,No holiday
2012-03-01,12.11060781924803,No holiday
2012-03-02,12.80997691216281,No holiday
2012-03-03,13.14733048675748,No holiday
2012-03-04,14.41832543275862,No holiday
2012-03-05,13.719076008081752,No holiday
2012-03-06,14.307334211763932,No holiday
2012-03-07,13.827026572302575,No holiday
2012-03-08,12.999237376603196,No holiday
2012-03-09,13.07796537151113,No holiday
2012-03-10,12.717591200657898,No holiday
2012-03-11,12.668537850597607,No holiday
2012-03-12,11.883933348472649,No holiday
2012-03-13,11.886514266583328,No holiday
2012-03-14,11.895745918256187,No holiday
2012-03-15,11.769376707136477,No holiday
2012-03-16,12.351171460667745,No holiday
2012-03-17,12.649746749133124,No holiday
2012-03-18,12.95241507183079,No holiday
2012-03-19,12.03697915960072,No holiday
2012-03-20,11.570801037593252,No holiday
2012-03-21,11.307393876833371,No holiday
2012-03-22,11.085969606703584,No holiday
2012-03-23,11.076593327730862,No holiday
2012-03-24,10.869521501878234,No holiday
2012-03-25,11.45957102822884,No holiday
2012-03-26,10.73387152608538,No holiday
2012-03-27,10.26307885030835,No holiday
2012-03-28,10.258222150793411,No holiday
2012-03-29,10.146786248664938,No holiday
2012-03-30,9.964166430813624,No holiday
2012-03-31,11.30046823034188,No holiday
2012-04-01,11.572648316130923,No holiday
2012-04-02,11.037842030019965,No holiday
2012-04-03,11.285049431245984,No holiday
2012-04-04,11.431089799149738,No holiday
2012-04-05,11.83666216977998,No holiday
2012-04-06,11.367525627603513,Spring bank holiday (substitute day)
2012-04-07,11.02964547640211,No holiday
2012-04-08,11.262881446196964,No holiday
2012-04-09,11.565181544015577,No holiday
2012-04-10,10.94291411860346,No holiday
2012-04-11,11.221498994463245,No holiday
2012-04-12,11.207475560860722,No holiday
2012-04-13,11.087713931517373,No holiday
2012-04-14,11.253817163149716,No holiday
2012-04-15,12.253889268531848,No holiday
2012-04-16,11.86930774704411,No holiday
2012-04-17,12.225878493244291,No holiday
2012-04-18,12.485581158801626,No holiday
2012-04-19,12.40846369250214,No holiday
2012-04-20,11.744154941159051,No holiday
2012-04-21,11.454699696153478,No holiday
2012-04-22,12.01100467754386,No holiday
2012-04-23,11.826332009276875,No holiday
2012-04-24,11.58113520171201,No holiday
2012-04-25,12.15354318703002,No holiday
2012-04-26,11.321434115759324,No holiday
2012-04-27,11.035930534615076,No holiday
2012-04-28,12.24374081425789,No holiday
2012-04-29,13.178642995466692,No holiday
2012-04-30,10.62961653273217,No holiday
2012-05-01,10.551130547684348,No holiday
2012-05-02,10.617318477046666,No holiday
2012-05-03,11.549335461100268,No holiday
2012-05-04,11.488303816571698,No holiday
2012-05-05,11.40206406568219,No holiday
2012-05-06,11.897015699190844,Queens Diamond Jubilee (extra bank holiday)
2012-05-07,11.913554682071696,No holiday
2012-05-08,10.6710876758327,No holiday
2012-05-09,11.025304128172095,No holiday
2012-05-10,10.569132368385953,No holiday
2012-05-11,9.926309349182564,No holiday
2012-05-12,10.305018646335853,No holiday
2012-05-13,10.56997101848494,No holiday
2012-05-14,10.541421766430672,No holiday
2012-05-15,11.0759601242082,No holiday
2012-05-16,10.161948846384783,No holiday
2012-05-17,10.096423029972492,No holiday
2012-05-18,10.20585616688742,No holiday
2012-05-19,10.09949737478006,No holiday
2012-05-20,11.011937555771684,No holiday
2012-05-21,10.156386485622878,No holiday
2012-05-22,9.453141733746342,No holiday
2012-05-23,9.0730427185935,No holiday
2012-05-24,8.987779408873685,No holiday
2012-05-25,8.959626642388606,No holiday
2012-05-26,8.881390850440294,No holiday
2012-05-27,9.212377744605776,No holiday
2012-05-28,9.09598572648601,No holiday
2012-05-29,9.0537332982743,No holiday
2012-05-30,8.885871552212468,No holiday
2012-05-31,9.199588670021258,No holiday
2012-06-01,9.248927329532435,No holiday
2012-06-02,9.411533716136812,No holiday
2012-06-03,10.46195558582567,No holiday
2012-06-04,9.989140168378174,Good Friday
2012-06-05,10.54882199626577,No holiday
2012-06-06,9.602861542223328,No holiday
2012-06-07,9.945574756767597,No holiday
2012-06-08,10.04187573782892,No holiday
2012-06-09,9.60956782105185,No holiday
2012-06-10,10.248566746155948,No holiday
2012-06-11,11.0219045222759,No holiday
2012-06-12,10.613499963107204,No holiday
2012-06-13,9.790853801280404,No holiday
2012-06-14,9.816484650607537,No holiday
2012-06-15,9.820763922792004,No holiday
2012-06-16,9.954406664128248,No holiday
2012-06-17,9.872693513131136,No holiday
2012-06-18,9.43408774535888,No holiday
2012-06-19,9.221474182271889,No holiday
2012-06-20,9.050834163788164,No holiday
2012-06-21,9.549437782554978,No holiday
2012-06-22,9.544877362346666,No holiday
2012-06-23,9.583374563931292,No holiday
2012-06-24,10.030532706387753,No holiday
2012-06-25,9.315580347578177,No holiday
2012-06-26,9.27470987438018,No holiday
2012-06-27,9.27245148813248,No holiday
2012-06-28,9.048964835855235,No holiday
2012-06-29,9.17974088942506,No holiday
2012-06-30,8.963258382924767,No holiday
2012-07-01,9.48309738547579,No holiday
2012-07-02,9.797652311520602,No holiday
2012-07-03,9.596085904779322,No holiday
2012-07-04,9.21945660357037,No holiday
2012-07-05,9.08115636340204,Early May bank holiday
2012-07-06,9.300507421911918,No holiday
2012-07-07,9.358849589674954,No holiday
2012-07-08,9.991702989284391,No holiday
2012-07-09,9.580622363448914,No holiday
2012-07-10,9.399704268096247,No holiday
2012-07-11,9.236983591229189,No holiday
2012-07-12,9.234660375368794,No holiday
2012-07-13,9.138708171254237,No holiday
2012-07-14,9.367404482471803,No holiday
2012-07-15,9.363103974987888,No holiday
2012-07-16,9.60493255982075,No holiday
2012-07-17,9.03505644222961,No holiday
2012-07-18,9.167096117596849,No holiday
2012-07-19,9.02059698836614,No holiday
2012-07-20,9.07329182383543,No holiday
2012-07-21,8.873453063355571,No holiday
2012-07-22,8.959084008307842,No holiday
2012-07-23,8.742657636328195,No holiday
2012-07-24,8.592979392979341,No holiday
2012-07-25,8.761578757742438,No holiday
2012-07-26,8.614356056052141,No holiday
2012-07-27,8.975825623292904,No holiday
2012-07-28,8.770632261996811,No holiday
2012-07-29,9.31162365493646,No holiday
2012-07-30,8.860149424663463,No holiday
2012-07-31,9.09811940954433,No holiday
2012-08-01,8.912837740228097,No holiday
2012-08-02,8.731912595400098,No holiday
2012-08-03,8.850579974253929,No holiday
2012-08-04,8.982952165651374,No holiday
2012-08-05,9.483330227436571,No holiday
2012-08-06,9.129025840175522,No holiday
2012-08-07,9.127873569941093,No holiday
2012-08-08,8.814307624909162,No holiday
2012-08-09,8.717921470172065,No holiday
2012-08-10,8.75819319778497,No holiday
2012-08-11,8.742934892290345,No holiday
2012-08-12,9.092400988458976,No holiday
2012-08-13,8.85071041596915,No holiday
