Time,Consumption,Type
2012-01-23,11.580440437081553,No holiday
2012-01-24,12.18968557579587,No holiday
2012-01-25,11.852043409157002,No holiday
2012-01-26,11.699931978911565,No holiday
2012-01-27,11.389086609282264,No holiday
2012-01-28,11.934817063171636,No holiday
2012-01-29,12.460245029801325,No holiday
2012-01-30,12.172755876070685,No holiday
2012-01-31,13.007948388387096,No holiday
2012-02-01,12.368948407003028,New Years Day (substitute day)
2012-02-02,12.354384921054272,No holiday
2012-02-03,12.950764339276333,No holiday
2012-02-04,13.327100618238992,No holiday
2012-02-05,14.019664759312592,No holiday
2012-02-06,12.289456049047391,No holiday
2012-02-07,12.092386507975458,No holiday
2012-02-08,13.199497449363108,No holiday
2012-02-09,12.48711334476935,No holiday
2012-02-10,12.864780232912487,No holiday
2012-02-11,12.939274878824492,No holiday
2012-02-12,12.889649092211702,No holiday
2012-02-13,12.292042141371304,No holiday
2012-02-14,11.901435290588234,No holiday
2012-02-15,11.439552240211317,No holiday
2012-02-16,11.02927324593023,No holiday
2012-02-17,10.941771226485832,No holiday
2012-02-18,11.623122090697674,No holiday
2012-02-19,12.020476735465117,No holiday
2012-02-20,12.010222264070196,No holiday
2012-02-21,11.451402998674602,No holiday
2012-02-22,11.603643706016816,No holiday
2012-02-23,10.855766777043238,No holiday
2012-02-24,10.414462737640145,No holiday
2012-02-25,10.76302674452904,No holiday
2012-02-26,11.273434582969024,No holiday
2012-02-27,11.078414587095336,No holiday
2012-02-28,10.272556684439312,No holiday
2012-02-29,10.294504653974238,No holiday
2012-03-01,10.170665950946924,No holiday
2012-03-02,10.62171720003676,No holiday
2012-03-03,10.762483154133884,No holiday
2012-03-04,11.893091610159487,No holiday
2012-03-05,11.472962217376468,No holiday
2012-03-06,11.5004609605935,No holiday
2012-03-07,11.3263591182477,No holiday
2012-03-08,10.80338203860182,No holiday
2012-03-09,10.864424803420334,No holiday
2012-03-10,10.851865470403586,No holiday
2012-03-11,10.698237669506725,No holiday
2012-03-12,9.99841755455379,No holiday
2012-03-13,9.724867418879228,No holiday
2012-03-14,9.72655681909962,No holiday
2012-03-15,10.134748255412628,No holiday
2012-03-16,10.078849858109258,No holiday
2012-03-17,10.560636670312729,No holiday
2012-03-18,11.154279385926362,No holiday
2012-03-19,10.007498990036837,No holiday
2012-03-20,9.94008679743602,No holiday
2012-03-21,9.419438046542236,No holiday
2012-03-22,9.22376842251625,No holiday
2012-03-23,9.156484197249435,No holiday
2012-03-24,9.472314813716666,No holiday
2012-03-25,9.521797661082893,No holiday
2012-03-26,9.033827203870922,No holiday
2012-03-27,8.718682485246653,No holiday
2012-03-28,8.465773820133922,No holiday
2012-03-29,8.210372734927443,No holiday
2012-03-30,8.371313591119026,No holiday
2012-03-31,8.98538782274351,No holiday
2012-04-01,9.498902167357196,No holiday
2012-04-02,8.680095912192602,No holiday
2012-04-03,8.89184812600109,No holiday
2012-04-04,8.828499614680085,No holiday
2012-04-05,9.312651659413495,No holiday
2012-04-06,9.477099617733916,Spring bank holiday (substitute day)
2012-04-07,9.388787354885055,No holiday
2012-04-08,9.7258144985127,No holiday
2012-04-09,9.458271474963768,No holiday
2012-04-10,9.070176588446987,No holiday
2012-04-11,9.075484710062977,No holiday
2012-04-12,9.21555640375382,No holiday
2012-04-13,8.93054795857954,No holiday
2012-04-14,9.19715648013937,No holiday
2012-04-15,9.98789033656916,No holiday
2012-04-16,9.10039162775205,No holiday
2012-04-17,9.060388370883624,No holiday
2012-04-18,9.112240709448168,No holiday
2012-04-19,9.073708208231077,No holiday
2012-04-20,8.886449810390038,No holiday
2012-04-21,8.898131334283693,No holiday
2012-04-22,9.179231354669705,No holiday
2012-04-23,8.734338629614307,No holiday
2012-04-24,8.685972291820088,No holiday
2012-04-25,8.945477193168037,No holiday
2012-04-26,8.542663129782005,No holiday
2012-04-27,8.339452551379045,No holiday
2012-04-28,9.09238328593627,No holiday
2012-04-29,9.789818279362068,No holiday
2012-04-30,8.195222979554954,No holiday
2012-05-01,7.897181795332242,No holiday
2012-05-02,7.893841815404316,No holiday
2012-05-03,8.42049456843256,No holiday
2012-05-04,8.346544973172144,No holiday
2012-05-05,8.828718843121239,No holiday
2012-05-06,9.164102839529058,Queens Diamond Jubilee (extra bank holiday)
2012-05-07,8.879788555279328,No holiday
2012-05-08,7.910171672619175,No holiday
2012-05-09,7.8928816806760915,No holiday
2012-05-10,7.8757912576638525,No holiday
2012-05-11,7.567760383559546,No holiday
2012-05-12,8.002609601751505,No holiday
2012-05-13,8.265485837565198,No holiday
2012-05-14,7.936298575990601,No holiday
2012-05-15,7.953203692706217,No holiday
2012-05-16,7.790594738788461,No holiday
2012-05-17,7.621071981654453,No holiday
2012-05-18,7.731291333377953,No holiday
2012-05-19,7.754299063117338,No holiday
2012-05-20,8.371034546182022,No holiday
2012-05-21,7.614986292875473,No holiday
2012-05-22,7.098360185743591,No holiday
2012-05-23,7.029299490654511,No holiday
2012-05-24,6.889911518088417,No holiday
2012-05-25,7.006605785425758,No holiday
2012-05-26,7.198031276776382,No holiday
2012-05-27,7.581677377731614,No holiday
2012-05-28,7.129901916179938,No holiday
2012-05-29,7.023239012787466,No holiday
2012-05-30,7.037340100323254,No holiday
2012-05-31,7.019796690216334,No holiday
2012-06-01,7.05251877900687,No holiday
2012-06-02,7.454204639252658,No holiday
2012-06-03,8.065505957901989,No holiday
2012-06-04,7.586260597231735,Good Friday
2012-06-05,7.946507523965925,No holiday
2012-06-06,7.349711566094137,No holiday
2012-06-07,7.532873265424652,No holiday
2012-06-08,7.596506012342615,No holiday
2012-06-09,7.501876334877487,No holiday
2012-06-10,7.932821322381556,No holiday
2012-06-11,7.92377828848003,No holiday
2012-06-12,7.729201885999239,No holiday
2012-06-13,7.288852194098539,No holiday
2012-06-14,7.283078892110085,No holiday
2012-06-15,7.31162001462255,No holiday
2012-06-16,7.649432902706265,No holiday
2012-06-17,7.899475514212925,No holiday
2012-06-18,7.224962122457212,No holiday
2012-06-19,7.015871205647465,No holiday
2012-06-20,6.924363704715053,No holiday
2012-06-21,7.18148347865788,No holiday
2012-06-22,7.247352303176303,No holiday
2012-06-23,7.492916165658352,No holiday
2012-06-24,7.856661409410193,No holiday
2012-06-25,7.136169648321754,No holiday
2012-06-26,7.181165185096249,No holiday
2012-06-27,7.193623180358529,No holiday
2012-06-28,7.110059374720637,No holiday
