Time,Consumption
2011-11-23,5.5945214285714275
2011-11-24,7.787646969696968
2011-11-25,8.092409090909088
2011-11-26,9.917484599224304
2011-11-27,8.86388236470588
2011-11-28,8.281733779934237
2011-11-29,7.705838484469695
2011-11-30,7.278700181255244
2011-12-01,7.644409962082767
2011-12-02,9.079804479327864
2011-12-03,9.953923291995684
2011-12-04,10.821425527659573
2011-12-05,9.714517791247417
2011-12-06,10.111067439063591
2011-12-07,9.814118037418229
2011-12-08,9.470255819935685
2011-12-09,10.004051270360636
2011-12-10,11.183799165348903
2011-12-11,11.90647826811594
2011-12-12,10.705272091531981
2011-12-13,10.246533680228069
2011-12-14,10.047276999299383
2011-12-15,10.211337219657073
2011-12-16,10.737510957924405
2011-12-17,11.960204751916285
2011-12-18,12.528292565356855
2011-12-19,12.242528810176147
2011-12-20,11.021037279658259
2011-12-21,10.595649026599634
2011-12-22,10.374272701806447
2011-12-23,11.103465354725797
2011-12-24,11.81594393271028
2011-12-25,12.263214951401867
2011-12-26,9.652140189719624
2011-12-27,10.211457950467288
2011-12-28,10.564551028800876
2011-12-29,10.498490529786757
2011-12-30,10.742436664080392
2011-12-31,10.234412278070174
2012-01-01,10.245912280701752
2012-01-02,10.969122807894735
2012-01-03,10.179147266588531
2012-01-04,10.065344824999999
2012-01-05,10.362370694827584
2012-01-06,10.503120693103448
2012-01-07,10.549077587931032
2012-01-08,11.428310346551722
2012-01-09,10.437435894238668
2012-01-10,9.796955714242557
2012-01-11,10.006999998290595
2012-01-12,9.96732022306968
2012-01-13,10.39727966355932
2012-01-14,11.073025423728811
2012-01-15,11.989014623710514
2012-01-16,10.425469037457804
2012-01-17,11.47651579125683
2012-01-18,10.87994223459874
2012-01-19,10.855706648341934
2012-01-20,11.836052147950156
2012-01-21,12.056346448818896
2012-01-22,12.70367717086614
2012-01-23,11.918789242337658
2012-01-24,11.824604513914055
2012-01-25,11.573329914676547
2012-01-26,12.068893403326985
2012-01-27,11.70405191794984
2012-01-28,12.339633089208633
2012-01-29,13.017870492805754
2012-01-30,12.137527930171435
2012-01-31,12.108809311891918
2012-02-01,12.19537228797981
2012-02-02,12.50334342660476
2012-02-03,12.817761120878094
2012-02-04,13.690127882954934
2012-02-05,14.494346409150326
2012-02-06,12.921641601685288
2012-02-07,12.542444118361079
2012-02-08,13.773813639350928
2012-02-09,12.767522069681132
2012-02-10,13.637649631696977
2012-02-11,13.805163629090908
2012-02-12,14.422333338181817
2012-02-13,12.860267108303768
2012-02-14,12.478222463103322
2012-02-15,11.614590821953682
2012-02-16,11.224646695209579
2012-02-17,11.501766971044743
2012-02-18,12.018332517147845
2012-02-19,13.170982144642856
2012-02-20,12.370435332545235
2012-02-21,11.782191324475201
2012-02-22,11.908268759553312
2012-02-23,10.707689409712557
2012-02-24,10.723902595013296
2012-02-25,10.621999990857141
2012-02-26,11.620144559688011
2012-02-27,10.862335754377668
2012-02-28,10.300947441358499
2012-02-29,10.362509999768648
2012-03-01,10.04399045272323
2012-03-02,10.62406242685317
2012-03-03,10.964081522282607
2012-03-04,12.245637471094676
2012-03-05,11.387115293041695
2012-03-06,11.543248130424844
2012-03-07,11.462117493292645
2012-03-08,10.768418853121231
2012-03-09,11.019695141072344
2012-03-10,10.74729286028983
2012-03-11,11.443430059067357
2012-03-12,9.74019895176326
2012-03-13,10.09528985537737
2012-03-14,10.138661275956679
2012-03-15,9.949377228008512
2012-03-16,10.166678515718155
2012-03-17,10.933982753978864
2012-03-18,10.836640761467653
2012-03-19,9.964222641553052
2012-03-20,9.485340025525089
2012-03-21,9.323936914572108
2012-03-22,9.349614112365586
2012-03-23,9.418206425088593
2012-03-24,9.52990065086
2012-03-25,10.115367124305976
2012-03-26,9.367267332379239
2012-03-27,8.923085142362833
2012-03-28,9.00194932059768
2012-03-29,8.666377649958418
2012-03-30,8.841917262898203
2012-03-31,9.882019231923076
2012-04-01,10.032861539999999
2012-04-02,9.111662381091772
2012-04-03,9.231922119217947
2012-04-04,9.428397489381226
2012-04-05,9.736645929896408
2012-04-06,9.82548263923611
2012-04-07,9.64022225608304
2012-04-08,10.195430569396049
2012-04-09,9.811441601296139
2012-04-10,8.829544833815666
2012-04-11,8.987549743886108
2012-04-12,9.119450708045258
2012-04-13,9.326411322167553
2012-04-14,9.645368738078469
2012-04-15,10.053728223506171
2012-04-16,9.514700950964349
2012-04-17,9.618254645086035
2012-04-18,9.733296721783862
2012-04-19,9.567884482265347
2012-04-20,9.350990181669912
2012-04-21,9.618598174957143
2012-04-22,9.764354322806957
2012-04-23,9.161746317624836
2012-04-24,8.896661906098249
2012-04-25,9.441398761709525
2012-04-26,9.108815892264573
2012-04-27,9.045987817354588
2012-04-28,9.744751623924845
2012-04-29,10.494797266871847
2012-04-30,8.735388957916498
2012-05-01,8.714211153570695
2012-05-02,8.864461457034965
2012-05-03,9.452548210515015
2012-05-04,9.463735008308692
2012-05-05,9.885156558265336
2012-05-06,10.082371977800369
2012-05-07,10.020242964235628
2012-05-08,8.820641456419073
2012-05-09,9.015320581674354
2012-05-10,8.702380219028809
2012-05-11,8.389907246988841
2012-05-12,8.614320315833163
2012-05-13,9.07899469771111
2012-05-14,8.730440956086229
2012-05-15,8.872749969811439
2012-05-16,8.698496216060768
2012-05-17,8.526866473153763
2012-05-18,8.579897679152598
2012-05-19,8.812306204302121
2012-05-20,9.501610569147639
2012-05-21,8.496689265662692
2012-05-22,8.027612566907639
2012-05-23,7.951838455628945
2012-05-24,7.922796951327428
2012-05-25,7.889991254011483
2012-05-26,8.184675572990859
