Time,Consumption,Type
2012-04-19,9.567884482265349,No holiday
2012-04-20,9.350990181669912,No holiday
2012-04-21,9.618598174957144,No holiday
2012-04-22,9.764354322806955,No holiday
2012-04-23,9.161746317624836,No holiday
2012-04-24,8.896661906098249,No holiday
2012-04-25,9.441398761709523,No holiday
2012-04-26,9.108815892264571,No holiday
2012-04-27,9.045987817354588,No holiday
2012-04-28,9.744751623924843,No holiday
2012-04-29,10.494797266871847,No holiday
2012-04-30,8.735388957916498,No holiday
2012-05-01,8.714211153570695,No holiday
2012-05-02,8.864461457034965,No holiday
2012-05-03,9.452548210515015,No holiday
2012-05-04,9.463735008308692,No holiday
2012-05-05,9.885156558265336,No holiday
2012-05-06,10.082371977800369,Queens Diamond Jubilee (extra bank holiday)
2012-05-07,10.020242964235628,No holiday
2012-05-08,8.820641456419073,No holiday
2012-05-09,9.015320581674354,No holiday
2012-05-10,8.702380219028809,No holiday
2012-05-11,8.389907246988841,No holiday
2012-05-12,8.614320315833163,No holiday
2012-05-13,9.07899469771111,No holiday
2012-05-14,8.730440956086229,No holiday
2012-05-15,8.872749969811439,No holiday
2012-05-16,8.698496216060768,No holiday
2012-05-17,8.526866473153763,No holiday
2012-05-18,8.579897679152598,No holiday
2012-05-19,8.812306204302121,No holiday
2012-05-20,9.50161056914764,No holiday
2012-05-21,8.496689265662692,No holiday
2012-05-22,8.027612566907639,No holiday
2012-05-23,7.951838455628945,No holiday
2012-05-24,7.922796951327428,No holiday
2012-05-25,7.889991254011483,No holiday
2012-05-26,8.184675572990859,No holiday
2012-05-27,8.35674964306559,No holiday
2012-05-28,7.968040560330356,No holiday
2012-05-29,7.804806443074174,No holiday
2012-05-30,7.861277115493085,No holiday
2012-05-31,7.802539454427853,No holiday
2012-06-01,7.89976139984391,No holiday
2012-06-02,8.255255449618547,No holiday
2012-06-03,9.023447093831937,No holiday
2012-06-04,8.582940509779421,Good Friday
2012-06-05,8.790200083727841,No holiday
2012-06-06,8.11939437038637,No holiday
2012-06-07,8.561241936212069,No holiday
2012-06-08,8.531178085401004,No holiday
2012-06-09,8.378780328663288,No holiday
2012-06-10,8.873921414539899,No holiday
2012-06-11,9.030097272851403,No holiday
2012-06-12,8.773903419009596,No holiday
2012-06-13,8.145878578617424,No holiday
2012-06-14,8.094118519678107,No holiday
2012-06-15,8.179402720043889,No holiday
2012-06-16,8.526621956517465,No holiday
2012-06-17,8.790804708994093,No holiday
2012-06-18,8.071491693008833,No holiday
2012-06-19,7.837041487412763,No holiday
2012-06-20,7.8839402767867615,No holiday
2012-06-21,8.159534332942648,No holiday
2012-06-22,8.293891581543416,No holiday
2012-06-23,8.54433208590294,No holiday
2012-06-24,8.843833560081853,No holiday
2012-06-25,8.080692574089289,No holiday
2012-06-26,7.944110660888302,No holiday
2012-06-27,8.006469694383807,No holiday
2012-06-28,8.033938948568226,No holiday
2012-06-29,8.034463118635871,No holiday
2012-06-30,8.184766707251349,No holiday
2012-07-01,8.65740841146695,No holiday
2012-07-02,8.276419115004668,No holiday
2012-07-03,8.17122485497236,No holiday
2012-07-04,8.111657049998124,No holiday
2012-07-05,7.943934010773896,Early May bank holiday
2012-07-06,8.026702747869512,No holiday
2012-07-07,8.340916827711078,No holiday
2012-07-08,9.070837895779343,No holiday
2012-07-09,8.373430651475138,No holiday
2012-07-10,8.262393807719807,No holiday
2012-07-11,8.091995189426829,No holiday
2012-07-12,8.116910308941273,No holiday
2012-07-13,8.26055727819533,No holiday
2012-07-14,8.696403969403224,No holiday
2012-07-15,8.754652981426444,No holiday
2012-07-16,8.471756695606086,No holiday
2012-07-17,8.041936979542955,No holiday
2012-07-18,8.223756779661015,No holiday
2012-07-19,8.084098542327864,No holiday
2012-07-20,8.240767956389815,No holiday
2012-07-21,8.178831679140485,No holiday
2012-07-22,8.34635074995185,No holiday
2012-07-23,8.03146324337885,No holiday
2012-07-24,7.940921899686219,No holiday
2012-07-25,8.016228885370886,No holiday
2012-07-26,7.997898997689203,No holiday
2012-07-27,8.219496086797957,No holiday
2012-07-28,8.209461483712595,No holiday
2012-07-29,8.67538871901864,No holiday
2012-07-30,8.094027090658447,No holiday
2012-07-31,8.175609179926589,No holiday
2012-08-01,7.999472741436254,No holiday
2012-08-02,7.962573637830799,No holiday
2012-08-03,7.895854911433719,No holiday
2012-08-04,8.140345323708221,No holiday
2012-08-05,8.673719666092138,No holiday
2012-08-06,8.207626372950125,No holiday
2012-08-07,8.096864415853316,No holiday
2012-08-08,7.908995774725273,No holiday
2012-08-09,7.954076921639897,No holiday
2012-08-10,7.857870277467838,No holiday
2012-08-11,7.941925346435328,No holiday
2012-08-12,8.40045148328928,No holiday
2012-08-13,8.045041756193635,No holiday
2012-08-14,7.857177376612361,No holiday
2012-08-15,7.974652471771199,No holiday
2012-08-16,8.020477700231982,No holiday
2012-08-17,7.868503570871207,No holiday
2012-08-18,8.14111331362013,No holiday
