Time,Consumption
2011-11-23,6.086
2011-11-24,9.857583308333332
2011-11-25,9.91746665
2011-11-26,8.983523795238094
2011-11-27,11.401428557142856
2011-11-28,10.418605017839104
2011-11-29,11.62568957591575
2011-11-30,11.024714748039214
2011-12-01,10.538091470752926
2011-12-02,10.691960016
2011-12-03,11.053061926923075
2011-12-04,12.786807692307692
2011-12-05,11.44790278041977
2011-12-06,11.156672342329545
2011-12-07,10.793106509488114
2011-12-08,11.126189545289735
2011-12-09,11.698901024392523
2011-12-10,11.398947920606732
2011-12-11,13.338125179535558
2011-12-12,11.195174008634595
2011-12-13,10.801855572480337
2011-12-14,11.659278726109424
2011-12-15,11.350813327963783
2011-12-16,12.325459991567072
2011-12-17,12.712673782435898
2011-12-18,13.58124746585443
2011-12-19,13.64247448393822
2011-12-20,12.434344654651106
2011-12-21,11.779771508195719
2011-12-22,11.524365577310443
2011-12-23,11.924327904649926
2011-12-24,12.863357131083141
2011-12-25,13.040297644093881
2011-12-26,11.438427626010002
2011-12-27,11.053460863478259
2011-12-28,11.457484787935739
2011-12-29,12.254407925359635
2011-12-30,12.015066379598442
2011-12-31,12.608864001599999
2012-01-01,12.445952001599998
2012-01-02,12.118150575838708
2012-01-03,12.630396170280429
2012-01-04,12.673388045232528
2012-01-05,12.445147809202071
2012-01-06,12.33561473272261
2012-01-07,12.712136390346414
2012-01-08,12.96523843582062
2012-01-09,12.246052268120154
2012-01-10,11.754496536028622
2012-01-11,11.395857478986283
2012-01-12,11.663958605525542
2012-01-13,12.192711190608373
2012-01-14,13.074563688721803
2012-01-15,13.407006413633438
2012-01-16,12.852294840606943
2012-01-17,12.539559705223878
2012-01-18,12.026776128358208
2012-01-19,11.887349143935875
2012-01-20,11.920942192914652
2012-01-21,11.965693287133627
2012-01-22,12.617288458066238
2012-01-23,11.580440437081553
2012-01-24,12.18968557579587
2012-01-25,11.852043409157002
2012-01-26,11.699931978911563
2012-01-27,11.389086609282264
2012-01-28,11.934817063171636
2012-01-29,12.460245029801323
2012-01-30,12.172755876070685
2012-01-31,13.007948388387096
2012-02-01,12.368948407003028
2012-02-02,12.354384921054272
2012-02-03,12.950764339276331
2012-02-04,13.327100618238992
2012-02-05,14.019664759312592
2012-02-06,12.289456049047393
2012-02-07,12.092386507975458
2012-02-08,13.199497449363108
2012-02-09,12.48711334476935
2012-02-10,12.864780232912487
2012-02-11,12.939274878824493
2012-02-12,12.889649092211702
2012-02-13,12.292042141371304
2012-02-14,11.901435290588234
2012-02-15,11.439552240211317
2012-02-16,11.02927324593023
2012-02-17,10.941771226485832
2012-02-18,11.623122090697674
2012-02-19,12.020476735465115
2012-02-20,12.010222264070197
2012-02-21,11.451402998674602
2012-02-22,11.603643706016815
2012-02-23,10.855766777043238
2012-02-24,10.414462737640143
2012-02-25,10.763026744529041
2012-02-26,11.273434582969024
2012-02-27,11.078414587095335
2012-02-28,10.272556684439312
2012-02-29,10.294504653974238
2012-03-01,10.170665950946923
2012-03-02,10.62171720003676
2012-03-03,10.762483154133884
2012-03-04,11.893091610159487
2012-03-05,11.472962217376468
2012-03-06,11.5004609605935
2012-03-07,11.3263591182477
2012-03-08,10.80338203860182
2012-03-09,10.864424803420334
2012-03-10,10.851865470403586
2012-03-11,10.698237669506725
2012-03-12,9.99841755455379
2012-03-13,9.724867418879228
2012-03-14,9.726556819099619
2012-03-15,10.134748255412628
2012-03-16,10.078849858109258
2012-03-17,10.560636670312727
2012-03-18,11.154279385926362
2012-03-19,10.007498990036835
2012-03-20,9.94008679743602
2012-03-21,9.419438046542236
2012-03-22,9.22376842251625
2012-03-23,9.156484197249435
2012-03-24,9.472314813716666
2012-03-25,9.521797661082893
2012-03-26,9.033827203870922
2012-03-27,8.718682485246653
2012-03-28,8.465773820133922
2012-03-29,8.210372734927443
2012-03-30,8.371313591119026
2012-03-31,8.98538782274351
2012-04-01,9.498902167357196
2012-04-02,8.680095912192602
2012-04-03,8.89184812600109
2012-04-04,8.828499614680085
2012-04-05,9.312651659413495
2012-04-06,9.477099617733915
2012-04-07,9.388787354885055
2012-04-08,9.725814498512701
2012-04-09,9.458271474963768
2012-04-10,9.070176588446987
2012-04-11,9.075484710062977
2012-04-12,9.21555640375382
2012-04-13,8.93054795857954
2012-04-14,9.19715648013937
2012-04-15,9.98789033656916
2012-04-16,9.10039162775205
2012-04-17,9.060388370883624
2012-04-18,9.112240709448168
2012-04-19,9.073708208231077
2012-04-20,8.886449810390038
2012-04-21,8.898131334283693
2012-04-22,9.179231354669705
2012-04-23,8.734338629614307
2012-04-24,8.685972291820088
2012-04-25,8.945477193168037
2012-04-26,8.542663129782005
2012-04-27,8.339452551379045
2012-04-28,9.09238328593627
2012-04-29,9.789818279362068
2012-04-30,8.195222979554954
2012-05-01,7.8971817953322425
2012-05-02,7.893841815404316
2012-05-03,8.42049456843256
2012-05-04,8.346544973172144
2012-05-05,8.828718843121239
2012-05-06,9.164102839529058
2012-05-07,8.879788555279328
2012-05-08,7.9101716726191755
2012-05-09,7.8928816806760915
2012-05-10,7.8757912576638525
2012-05-11,7.567760383559546
2012-05-12,8.002609601751505
2012-05-13,8.265485837565198
2012-05-14,7.936298575990601
2012-05-15,7.953203692706217
2012-05-16,7.790594738788461
2012-05-17,7.621071981654453
2012-05-18,7.731291333377953
2012-05-19,7.7542990631173385
2012-05-20,8.371034546182022
2012-05-21,7.614986292875473
2012-05-22,7.098360185743591
2012-05-23,7.029299490654511
2012-05-24,6.889911518088417
2012-05-25,7.006605785425758
2012-05-26,7.198031276776382
